workclass,education,marital-status,occupation,relationship,sex,native-country,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,class
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,1.5656442134116957,0.41835716044136567,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-0.44566082758384584,1
 Private, 10th, Married-civ-spouse, Craft-repair, Husband, Male, United-States,-0.48162198754285,0.0962907548106279,-1.5912285176913663,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 ?, Doctorate, Married-civ-spouse, ?, Husband, Male, United-States,2.296810713752605,-0.6948194204939168,2.293118063264528,-0.1459543139772638,-0.21686313686554418,-3.1139937373679323,1
 Private, HS-grad, Never-married, Other-service, Other-relative, Male, United-States,0.39577781286624103,0.018326938256424348,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.6882365466551265,0
 Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Male, United-States,-0.554738637576941,0.6321893091037525,1.1278140889777597,-0.1459543139772638,4.145574780057403,-0.20308510851256525,0
 Private, Assoc-voc, Married-civ-spouse, Tech-support, Husband, Male, United-States,0.030194562695786447,1.1957888028733767,0.35094477278658087,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Male, United-States,1.1269443132071502,-1.3903135943640608,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,0.7672177677725571,1
 Private, HS-grad, Never-married, Sales, Own-child, Female, United-States,-1.432138437986032,-1.275545736498494,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.44566082758384584,0
 Private, HS-grad, Never-married, Sales, Not-in-family, Male, United-States,-0.26227203744057725,-0.5012662699379468,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 ?, Some-college, Widowed, ?, Not-in-family, Female, United-States,1.273177613275332,-0.18666956591776857,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.44566082758384584,0
 ?, Some-college, Never-married, ?, Own-child, Female, United-States,-1.1396718378496682,0.44082357756161644,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 ?, Bachelors, Married-civ-spouse, ?, Husband, Male, United-States,1.7118775134798776,-0.074566729470803,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Some-college, Never-married, Sales, Own-child, Female, United-States,-1.432138437986032,0.33833965354666296,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-1.6585394229402488,0
 Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Female, United-States,-1.28590513791785,1.1285423842821498,0.35094477278658087,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Some-college, Divorced, Adm-clerical, Unmarried, Female, United-States,2.1505774136844233,0.1233326029685488,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Never-married, Sales, Own-child, Male, United-States,-1.0665551878155775,0.011411255435394773,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Masters, Never-married, Adm-clerical, Not-in-family, Female, United-States,3.4666771142980597,-0.3716545293322143,1.5162487470733492,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Some-college, Divorced, Sales, Unmarried, Female, United-States,-0.6278552876110318,1.0545713238318004,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Local-gov, Some-college, Never-married, Prof-specialty, Own-child, Female, United-States,-1.28590513791785,0.6451036781286585,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-1.2542465578214477,0
 Private, Some-college, Married-civ-spouse, Sales, Husband, Male, United-States,-0.48162198754285,-0.6195110733102189,-0.03748988530900857,0.42764642785021983,-0.21686313686554418,0.7672177677725571,0
 Private, 5th-6th, Never-married, Craft-repair, Unmarried, Male, El-Salvador,-1.0665551878155775,0.478525511393942,-2.7565324919781347,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Married-civ-spouse, Other-service, Own-child, Female, United-States,0.542011112934423,2.2879986382393773,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-2.0628322880590497,0
 Private, Bachelors, Married-civ-spouse, Other-service, Wife, Female, United-States,-0.7740885876792137,-0.8845326477155581,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-2.0628322880590497,0
 State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,0.39577781286624103,-0.8842460862726977,-0.03748988530900857,0.3001360030253688,-0.21686313686554418,-0.04136796246504486,0
 Private, Some-college, Never-married, Handlers-cleaners, Own-child, Male, United-States,-1.1396718378496682,-1.4874006112051443,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Female, United-States,-1.28590513791785,-0.935378199727078,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Self-emp-not-inc, Some-college, Never-married, Farming-fishing, Own-child, Female, United-States,-0.9934385377814865,-1.2225891818579029,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,0.7672177677725571,0
 Federal-gov, Some-college, Never-married, Adm-clerical, Other-relative, Male, United-States,0.32266116283215013,-0.5233983653748605,-0.03748988530900857,0.13836123840142964,-0.21686313686554418,-0.04136796246504486,0
 Private, 12th, Married-civ-spouse, Adm-clerical, Husband, Male, United-States,-1.0665551878155775,0.40539503117598286,-0.8143592015001875,-0.1459543139772638,-0.21686313686554418,0.7672177677725571,0
 Private, Some-college, Never-married, Other-service, Own-child, Female, United-States,-1.359021787951941,1.3877658654936147,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-2.4671251531778506,0
 Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Female, United-States,-1.0665551878155775,-1.1756408654692836,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-0.8499536927026468,0
 Private, Some-college, Never-married, Adm-clerical, Own-child, Male, United-States,-1.432138437986032,2.934022755023731,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-2.4671251531778506,0
 ?, Some-college, Never-married, ?, Not-in-family, Male, United-States,-1.0665551878155775,0.24569433906991459,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,1.575803498010159,0
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,0.39577781286624103,-0.30157115245667016,1.1278140889777597,-0.1459543139772638,4.736921907222145,0.7672177677725571,1
 Federal-gov, HS-grad, Married-civ-spouse, Other-service, Husband, Male, United-States,0.9075943631048775,-1.5772567276380522,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,1
 Private, HS-grad, Never-married, Adm-clerical, Own-child, Male, Philippines,-0.9934385377814865,-0.6921639511234109,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Male, United-States,0.9075943631048775,-0.49582160252360025,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,-0.18915538740648632,-0.13471597632718868,1.1278140889777597,0.8594817332570486,-0.21686313686554418,-0.04136796246504486,1
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Male, United-States,1.419410913343514,-0.7840355497044363,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,1
 Private, HS-grad, Married-civ-spouse, Sales, Husband, Male, ?,1.7849941635139686,-0.06679136232119241,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,0.6055006217250367,0
 ?, 7th-8th, Married-civ-spouse, ?, Husband, Male, United-States,2.223694063718514,-0.19129275719591543,-2.3680978338825454,-0.1459543139772638,-0.21686313686554418,0.6055006217250367,0
 Private, Bachelors, Divorced, Prof-specialty, Unmarried, Female, United-States,0.39577781286624103,0.016340112252592645,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-0.44566082758384584,0
 Private, Masters, Divorced, Adm-clerical, Unmarried, Female, United-States,0.468894462900332,-0.5090798452799388,1.5162487470733492,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 ?, 11th, Never-married, ?, Not-in-family, Female, United-States,-0.33538868747466816,-1.103494246205145,-1.2027938595957768,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, 5th-6th, Never-married, Priv-house-serv, Unmarried, Female, Mexico,-1.1396718378496682,0.282975982786045,-2.7565324919781347,-0.1459543139772638,-0.21686313686554418,-2.3054080071303304,0
 Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Male, United-States,1.1269443132071502,-0.1579847654874484,-0.425924543404598,-0.1459543139772638,4.9223443115026155,0.7672177677725571,0
 Private, 9th, Divorced, Exec-managerial, Unmarried, Female, United-States,-0.6278552876110318,0.267874194747305,-1.9796631757869556,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 ?, Bachelors, Married-civ-spouse, ?, Husband, Male, United-States,1.7849941635139686,0.3196940556645501,1.1278140889777597,0.8594817332570486,-0.21686313686554418,1.090652059867598,1
 Private, Some-college, Married-civ-spouse, Sales, Husband, Male, United-States,1.8581108135480595,-1.187093771135602,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-2.3054080071303304,0
 Private, Bachelors, Never-married, Sales, Unmarried, Male, United-States,-0.7740885876792137,-0.5265505412463242,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,1.98009636312896,0
 Private, 12th, Never-married, Adm-clerical, Own-child, Male, United-States,-1.432138437986032,0.618100038163119,-0.8143592015001875,-0.1459543139772638,-0.21686313686554418,-2.5479837262016107,0
 Self-emp-not-inc, HS-grad, Married-spouse-absent, Craft-repair, Not-in-family, Male, Thailand,0.468894462900332,-0.05868167348824475,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, Male, United-States,0.9807110131389685,-0.12877460241188426,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,1
 Self-emp-inc, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Male, United-States,2.0043441136162414,-0.7302002066390736,-2.3680978338825454,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,1
 Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, Female, United-States,-0.1160387373723954,0.38997802555009653,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,0.12034918358247552,0
 Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,0.32266116283215013,-0.24771670529511666,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,1
 Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Male, United-States,1.5656442134116957,-0.24028521187693846,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-1.9819737150352894,1
 Private, Some-college, Never-married, Adm-clerical, Own-child, Female, United-States,-1.359021787951941,-0.30077833246475655,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-1.2542465578214477,0
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Male, United-States,0.1764278627639683,2.251013108014203,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,0.3629249026537561,1
 State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Male, United-States,0.7613610630366957,0.17479903810626612,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,1
 Private, HS-grad, Divorced, Other-service, Unmarried, Female, United-States,-1.359021787951941,2.2080862038737235,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-1.2542465578214477,0
 Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,0.10331121272987737,-0.5406302601388623,1.5162487470733492,-0.1459543139772638,-0.21686313686554418,0.7672177677725571,0
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,-0.7740885876792137,2.8800536832850336,1.1278140889777597,0.25985578677300564,-0.21686313686554418,-0.04136796246504486,1
 Private, HS-grad, Divorced, Other-service, Not-in-family, Female, United-States,0.9075943631048775,-0.14833719691115024,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Self-emp-not-inc, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, Male, United-States,2.516160663854878,0.49957822539608177,-2.3680978338825454,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 ?, Some-college, Married-civ-spouse, ?, Husband, Male, United-States,1.7118775134798776,-1.2723266962903628,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.44566082758384584,1
 ?, Some-college, Never-married, ?, Own-child, Female, United-States,-1.432138437986032,1.2344650456114274,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Married-civ-spouse, Sales, Husband, Male, United-States,-0.6278552876110318,1.0040218853112362,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,1.98009636312896,0
 Private, Some-college, Divorced, Craft-repair, Not-in-family, Male, United-States,0.39577781286624103,1.095626026545592,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Male, United-States,1.5656442134116957,0.08930820765293092,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,1
 State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, Female, United-States,-0.9203218877473955,-1.048159231588813,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-1.6585394229402488,0
 Private, Some-college, Never-married, Adm-clerical, Own-child, Male, United-States,-1.505255088020123,0.4663848582647589,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.8499536927026468,0
 Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Male, United-States,0.10331121272987737,-1.0159115172189292,-0.03748988530900857,0.19145788709772657,-0.21686313686554418,-0.04136796246504486,0
 Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, Female, United-States,-0.9203218877473955,-0.0280387031983789,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-2.0628322880590497,0
 Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Female, Canada,0.468894462900332,-0.8542908634456967,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Female, United-States,-0.8472052377133046,-0.5002633048879356,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,-0.40850533750875906,0.036523589878056026,2.293118063264528,-0.1459543139772638,4.736921907222145,4.001560688722964,1
 Private, HS-grad, Married-civ-spouse, Other-service, Wife, Female, United-States,-1.0665551878155775,-0.06251204477447797,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-1.2542465578214477,0
 Private, HS-grad, Never-married, Craft-repair, Not-in-family, Male, Mexico,-0.40850533750875906,0.38987295302104774,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, 5th-6th, Never-married, Machine-op-inspct, Other-relative, Male, Guatemala,-0.40850533750875906,-0.07798636268893641,-2.7565324919781347,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Male, United-States,0.468894462900332,1.893728301055929,0.35094477278658087,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Male, United-States,1.7849941635139686,0.05557037378017339,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.6882365466551265,0
 ?, 12th, Never-married, ?, Own-child, Female, United-States,-1.505255088020123,0.7694426881857607,-0.8143592015001875,-0.1459543139772638,-0.21686313686554418,-1.6585394229402488,0
 Self-emp-inc, Assoc-voc, Divorced, Sales, Not-in-family, Male, United-States,1.419410913343514,-1.5970485712916065,0.35094477278658087,0.1420230762425536,-0.21686313686554418,1.2523692059151181,0
 Private, 11th, Married-civ-spouse, Adm-clerical, Husband, Male, United-States,0.6151277629685138,0.002890828534347287,-1.2027938595957768,-0.1459543139772638,3.5041134895736157,1.4140863519626385,0
 Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Male, India,1.1269443132071502,-0.4943314830207265,1.9046834051689385,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Male, United-States,-0.48162198754285,0.01403806866161457,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,1
 Private, HS-grad, Divorced, Prof-specialty, Not-in-family, Female, Germany,-0.7009719376451228,-1.5059220324620177,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.8499536927026468,0
 Private, HS-grad, Widowed, Adm-clerical, Unmarried, Female, United-States,2.4430440138207867,-0.16849201839232758,-0.425924543404598,0.15863212645050853,-0.21686313686554418,-1.6585394229402488,0
 Private, 7th-8th, Separated, Machine-op-inspct, Not-in-family, Male, United-States,1.492527563377605,-0.27270486311253844,-2.3680978338825454,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Assoc-voc, Divorced, Tech-support, Not-in-family, Female, United-States,-0.33538868747466816,0.37127511537941155,0.35094477278658087,-0.1459543139772638,-0.21686313686554418,1.8992377901051998,0
 Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,1.9312274635821505,-0.0959919733486612,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Self-emp-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, Male, United-States,-0.48162198754285,0.16693770252379742,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,1.575803498010159,0
 State-gov, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, Male, United-States,0.2495445127980592,-0.3868995980923845,0.35094477278658087,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,1
 Private, HS-grad, Divorced, Sales, Unmarried, Female, United-States,0.6882444130026047,-0.03611973588704053,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.8499536927026468,0
 Local-gov, Assoc-voc, Divorced, Exec-managerial, Unmarried, Female, United-States,-0.18915538740648632,1.8230240410541874,0.35094477278658087,-0.1459543139772638,-0.21686313686554418,1.575803498010159,0
 Private, Bachelors, Never-married, Other-service, Own-child, Male, United-States,-1.2127884878837591,6.629394945525456,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-0.44566082758384584,0
 Private, Some-college, Never-married, Adm-clerical, Own-child, Male, United-States,-0.9203218877473955,2.5580159337985817,-0.03748988530900857,0.1936811457869804,-0.21686313686554418,-0.04136796246504486,0
 ?, Some-college, Never-married, ?, Own-child, Female, United-States,-1.28590513791785,-0.1794100093653066,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Male, United-States,0.542011112934423,-0.12221234537038245,1.1278140889777597,3.4933893804083302,-0.21686313686554418,0.7672177677725571,1
 Private, 9th, Never-married, Craft-repair, Own-child, Male, United-States,-0.6278552876110318,-0.3762872726584565,-1.9796631757869556,-0.1459543139772638,-0.21686313686554418,0.3629249026537561,0
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Female, United-States,-0.554738637576941,-0.07898932773894761,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,1
 Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Male, United-States,-0.6278552876110318,0.1645878986923426,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,1
 Private, HS-grad, Divorced, Handlers-cleaners, Own-child, Female, United-States,-0.9934385377814865,-0.16796665574708364,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Female, United-States,1.9312274635821505,-0.9122431392401531,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,0.3629249026537561,0
 Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, Female, United-States,1.6387608634457866,-0.880320194505511,-0.03748988530900857,1.8188832476315173,-0.21686313686554418,-0.526519400607606,1
 Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,0.8344777130707866,-0.40326225647971,1.9046834051689385,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,1
 State-gov, Bachelors, Never-married, Exec-managerial, Unmarried, Female, United-States,0.542011112934423,-0.9724210422408248,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Never-married, Craft-repair, Not-in-family, Male, United-States,-1.359021787951941,-0.5946375400699413,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Male, United-States,0.1764278627639683,-0.325785594378369,0.35094477278658087,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,1
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Male, United-States,0.468894462900332,0.20578588212756438,-0.425924543404598,1.8188832476315173,-0.21686313686554418,3.192974958485363,1
 Private, HS-grad, Divorced, Craft-repair, Not-in-family, Male, United-States,0.2495445127980592,-0.28055664664691177,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Male, Hong,-0.1160387373723954,-0.33059982661842274,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Male, United-States,-1.0665551878155775,-0.4663248780051758,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Never-married, Craft-repair, Own-child, Male, United-States,-0.8472052377133046,0.06439646622027191,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-1.6585394229402488,0
 Private, Some-college, Never-married, Sales, Own-child, Female, United-States,-1.28590513791785,-0.12076043405989005,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-1.9819737150352894,0
 Private, HS-grad, Widowed, Exec-managerial, Not-in-family, Female, United-States,0.2495445127980592,-0.749858321619293,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Bachelors, Married-civ-spouse, Sales, Husband, Male, United-States,-1.1396718378496682,-0.6787051153570702,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Some-college, Divorced, Handlers-cleaners, Unmarried, Female, United-States,0.7613610630366957,-0.22263302699674142,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Never-married, Transport-moving, Unmarried, Male, United-States,-0.9203218877473955,-0.7641481855699287,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Masters, Never-married, Adm-clerical, Not-in-family, Female, United-States,0.1764278627639683,-0.43723889155485113,1.5162487470733492,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Male, United-States,1.492527563377605,0.05224626104299343,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,0.6055006217250367,0
 Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Male, United-States,0.10331121272987737,-0.10722518190878659,-0.03748988530900857,-0.1459543139772638,3.7396500571731317,-0.04136796246504486,0
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Male, United-States,-0.1160387373723954,0.022128653398371542,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,0.12034918358247552,0
 Private, Bachelors, Never-married, Protective-serv, Other-relative, Male, United-States,-0.9203218877473955,-0.3186693185473372,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,0.3629249026537561,0
 Private, Some-college, Never-married, Other-service, Not-in-family, Female, United-States,-1.432138437986032,-1.3524301716179237,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,2.7886820933665617,0
 Local-gov, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, Male, United-States,0.32266116283215013,0.3717049575437021,0.35094477278658087,-0.1459543139772638,-0.21686313686554418,-1.4968222768927284,0
 Private, HS-grad, Widowed, Craft-repair, Other-relative, Female, Cambodia,1.5656442134116957,0.19194496443740988,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Female, United-States,0.10331121272987737,-0.6120318196515641,-0.425924543404598,0.8084775633271082,-0.21686313686554418,-0.04136796246504486,1
 Private, Some-college, Never-married, Transport-moving, Not-in-family, Male, United-States,-0.9203218877473955,-1.6237847539104762,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Married-civ-spouse, Sales, Husband, Male, United-States,0.9075943631048775,-0.04099128041566633,-0.425924543404598,-0.1459543139772638,4.736921907222145,0.7672177677725571,1
 State-gov, Some-college, Separated, Prof-specialty, Not-in-family, Male, United-States,-0.40850533750875906,0.19070319818501508,-0.03748988530900857,1.2298504749021544,-0.21686313686554418,-0.04136796246504486,1
 Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Male, United-States,-1.359021787951941,-0.823514164482496,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.8499536927026468,0
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Male, United-States,-0.7009719376451228,0.7562226536218035,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,0.3629249026537561,0
 Private, Some-college, Divorced, Adm-clerical, Not-in-family, Female, United-States,-0.7009719376451228,0.4358278564077511,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Some-college, Divorced, Sales, Not-in-family, Male, United-States,0.030194562695786447,-0.672381659517952,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Male, United-States,0.10331121272987737,-1.3369176455110838,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.6882365466551265,0
 Private, HS-grad, Married-civ-spouse, Other-service, Husband, Male, United-States,1.346294263309423,-1.0952794848431486,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.8499536927026468,0
 Private, 11th, Never-married, Other-service, Own-child, Male, United-States,-1.5783717380542137,-0.1694567752499574,-1.2027938595957768,-0.1459543139772638,-0.21686313686554418,-2.3054080071303304,0
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Female, United-States,1.7118775134798776,1.7280957870826517,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Divorced, Craft-repair, Not-in-family, Male, United-States,1.2000609632412411,0.05224626104299343,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Assoc-acdm, Married-civ-spouse, Other-service, Husband, Male, Haiti,0.32266116283215013,0.6515226544487301,0.7393794308821703,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Female, United-States,-0.7009719376451228,0.906868004133485,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Never-married, Adm-clerical, Own-child, Male, United-States,-1.359021787951941,0.08909806259483334,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
